Property ID,Locality name,Postal code,price,Type of property,Subtype of property,Number of rooms,Surface of the plot,Living area,kitchen,furnished,Open fire,Terrace,Garden,Number of facades,Swimming pool,State of builing
20236341,Wommelgem,2160,€449000,house,,4,510 m²,207 m²,1,,,,168 m²,3,,To renovate
20236337,Mons,7000,€245000,house,,5,106 m²,200 m²,1,,,,,2,,As new
20085462,Lauwe,8930,€299000,house,,4,286 m²,189 m²,1,,,,,,,Just renovated
20236336,Verviers,4801,€215000,house,,2,150 m²,153 m²,1,,,15 m²,72 m²,2,,To be done up
20236298,Hoboken,2660,€249900,apartment,,2,,97 m²,1,,,3 m²,,2,,As new
20236289,Antwerpen-2018,2018,€375000,apartment,,2,,100 m²,1,,,20 m²,,,,Good
20234084,Watermael-boitsfort,1170,€550000,apartment,,4,,143 m²,1,0,,18 m²,,2,0,Good
20233894,Deinze,9800,,new-real-estate-project-houses,,,,,1,,,,,,,
20236386,Lustin,5170,€240000,apartment,,2,,78 m²,1,,,6 m²,,4,,Just renovated
20166427,Grembergen,9200,,apartment,,,,,1,,,,,,,
20236383,Overpelt,3900,€469000,house,,5,1203 m²,383 m²,1,0,,,,4,,
20236382,Niel,2845,€315000,apartment,,2,,130 m²,1,,,16 m²,,2,,Good
20236380,Ch%c3%a2telet,6200,€150000,house,,4,,153 m²,1,0,,,,2,,Good
20236378,Tollembeek,1570,€480000,house,,3,2775 m²,260 m²,1,,,,,3,,Good
20236377,Uccle,1180,€415000,apartment,,2,,88 m²,1,0,,3 m²,300 m²,2,0,Good
20236376,Kortrijk,8500,€215000,house,,4,117 m²,134 m²,1,,,44 m²,44 m²,2,0,Good
20236372,Lier,2500,€285000,house,,2,46 m²,70 m²,1,,,18 m²,18 m²,2,,As new
20236370,Waterloo,1410,€450000,villa,,4,730 m²,231 m²,1,0,,,600 m²,4,0,To be done up
20236367,Geraardsbergen,9500,€220000,service-flat,,1,,73 m²,1,,,12 m²,,4,0,As new
20236362,Jette,1090,€169000,apartment,,1,,74 m²,1,,,7 m²,,4,,
20236359,Temse,9140,€265000,apartment,,1,,80 m²,1,0,,9 m²,,3,0,Good
20236358,Temse,9140,€290000,apartment,,2,,83 m²,1,0,,22 m²,84 m²,3,0,Good
20236357,Temse,9140,€398000,apartment,,3,,128 m²,1,0,,23 m²,,3,0,Good
20236360,Temse,9140,€259000,apartment,,2,,77 m²,1,0,,14 m²,,3,0,Good
20101550,Blaugies,7370,€120000,house,,2,609 m²,155 m²,1,,,,,4,,To renovate
20236354,Bissegem,8501,€338990,house,,3,336 m²,207 m²,1,,,,,2,,As new
20236353,Paturages,7340,€80000,house,,2,130 m²,75 m²,1,0,,9 m²,,2,,To renovate
11406077,Erpe-mere,9420,€165000,house,,4,305 m²,140 m²,1,,,,152 m²,3,,To renovate
20236351,Septon,6940,€975000,villa,,6,4790 m²,359 m²,1,,,56 m²,4590 m²,4,1,Just renovated
20089427,Tournai,7500,€285000,house,,4,,229 m²,1,,,,,,,
20236346,Colfontaine,7340,€110000,house,,5,,180 m²,1,0,,70 m²,,2,,To renovate
20236343,Vorselaar,2290,€345000,house,,4,498 m²,164 m²,1,0,,,,4,0,
20236342,Malonne,5020,,house,,,,,1,,,,,,,
20236341,Wommelgem,2160,€449000,house,,4,510 m²,207 m²,1,,,,168 m²,3,,To renovate
20236337,Mons,7000,€245000,house,,5,106 m²,200 m²,1,,,,,2,,As new
20085462,Lauwe,8930,€299000,house,,4,286 m²,189 m²,1,,,,,,,Just renovated
20236336,Verviers,4801,€215000,house,,2,150 m²,153 m²,1,,,15 m²,72 m²,2,,To be done up
20236298,Hoboken,2660,€249900,apartment,,2,,97 m²,1,,,3 m²,,2,,As new
20236289,Antwerpen-2018,2018,€375000,apartment,,2,,100 m²,1,,,20 m²,,,,Good
20234084,Watermael-boitsfort,1170,€550000,apartment,,4,,143 m²,1,0,,18 m²,,2,0,Good
20236466,Huy,4500,€289500,house,,3,1198 m²,110 m²,1,0,,,,4,,Good
20236465,Sint-martens-latem,9831,€1480000,villa,,4,3212 m²,321 m²,1,,1,,,4,1,Good
20236464,Waterloo,1410,€519000,house,,4,,157 m²,1,,,,,2,,Good
20236463,Schoten,2900,€529000,house,,3,141 m²,159 m²,1,0,,,,2,,As new
20236462,Anderlecht,1070,€540000,house,,4,219 m²,300 m²,1,,,,,2,,Good
20236460,Ganshoren,1083,€220000,flat-studio,,,,70 m²,1,0,,80 m²,,2,0,To be done up
20236461,Ganshoren,1083,€199000,apartment,,2,,82 m²,1,0,,2 m²,,2,0,To renovate
20236459,Antwerpen%20ekeren,2180,€2475000,exceptional-property,,5,5045 m²,480 m²,1,,1,65 m²,,4,,As new
20236458,Laeken,1020,€650000,mixed-use-building,,2,200 m²,255 m²,1,0,,15 m²,15 m²,4,0,Good
20236457,Mont-godinne,5530,€299000,apartment,,2,,94 m²,1,,,6 m²,123 m²,3,0,
20236455,Knokke-zoute,8300,€362500,apartment,,1,,46 m²,1,1,,,,2,,Good
20236454,Oupeye,4680,€299000,house,,3,872 m²,120 m²,1,0,,,550 m²,4,,To renovate
20236452,Sint-lievens-houtem,9520,€350000,house,,5,643 m²,338 m²,1,0,,,,4,0,To renovate
20236453,Lede,9340,€258000,apartment,,1,,80 m²,1,,,,,,,
20236451,Sint-agatha-rode,3040,€539000,house,,4,610 m²,240 m²,1,,,24 m²,,3,,
20236448,Asse,1730,€579000,house,,3,2491 m²,187 m²,1,0,,13 m²,2000 m²,4,0,Good
20236447,Liedekerke,1770,€409000,house,,4,952 m²,250 m²,1,0,,66 m²,800 m²,2,0,As new
20236445,Dudzele,8380,€335000,house,,4,604 m²,237 m²,1,,,,,4,,
20236442,Li%c3%a8ge,4020,€229000,house,,2,,,1,0,,,,2,0,As new
20236441,Gr%c3%a2ce-hollogne,4460,€224000,house,,2,190 m²,75 m²,1,0,,50 m²,78 m²,2,0,Good
20236440,Knokke-heist,8300,€362500,apartment,,1,,46 m²,1,1,,,,2,,Good
20236438,Aalst%20gijzegem,9308,€299000,house,,4,1316 m²,170 m²,1,,,,,3,,To renovate
20236437,Aalst,9300,€299000,house,,4,1316 m²,170 m²,1,,,,,3,,To renovate
20236436,Varsenare,8490,€549000,apartment,,2,,,1,0,,,,,,
11412093,Heverlee,3001,€285000,apartment,,3,,90 m²,1,0,,3 m²,,,0,
20004129,Koksijde,8670,€675000,house,,4,566 m²,373 m²,1,,1,,,4,0,
20236434,Ninove,9400,€355000,apartment,,2,,115 m²,1,0,,,,,,Good
20236433,Oud-turnhout,2360,€349000,house,,3,457 m²,169 m²,1,,1,,,2,,Good
20236423,Boom,2850,€280000,house,,3,61 m²,128 m²,1,,,,,2,,Good
20236422,Duffel,2570,€329000,house,,5,,160 m²,1,,,,,2,,To renovate
20236298,Hoboken,2660,€249900,apartment,,2,,97 m²,1,,,3 m²,,2,,As new
20236289,Antwerpen-2018,2018,€375000,apartment,,2,,100 m²,1,,,20 m²,,,,Good
20234084,Watermael-boitsfort,1170,€550000,apartment,,4,,143 m²,1,0,,18 m²,,2,0,Good
20236466,Huy,4500,€289500,house,,3,1198 m²,110 m²,1,0,,,,4,,Good
20236465,Sint-martens-latem,9831,€1480000,villa,,4,3212 m²,321 m²,1,,1,,,4,1,Good
20236464,Waterloo,1410,€519000,house,,4,,157 m²,1,,,,,2,,Good
20236463,Schoten,2900,€529000,house,,3,141 m²,159 m²,1,0,,,,2,,As new
20236462,Anderlecht,1070,€540000,house,,4,219 m²,300 m²,1,,,,,2,,Good
20236460,Ganshoren,1083,€220000,flat-studio,,,,70 m²,1,0,,80 m²,,2,0,To be done up
20236461,Ganshoren,1083,€199000,apartment,,2,,82 m²,1,0,,2 m²,,2,0,To renovate
20236459,Antwerpen%20ekeren,2180,€2475000,exceptional-property,,5,5045 m²,480 m²,1,,1,65 m²,,4,,As new
20236458,Laeken,1020,€650000,mixed-use-building,,2,200 m²,255 m²,1,0,,15 m²,15 m²,4,0,Good
20236457,Mont-godinne,5530,€299000,apartment,,2,,94 m²,1,,,6 m²,123 m²,3,0,
20236455,Knokke-zoute,8300,€362500,apartment,,1,,46 m²,1,1,,,,2,,Good
20236454,Oupeye,4680,€299000,house,,3,872 m²,120 m²,1,0,,,550 m²,4,,To renovate
20236452,Sint-lievens-houtem,9520,€350000,house,,5,643 m²,338 m²,1,0,,,,4,0,To renovate
20236453,Lede,9340,€258000,apartment,,1,,80 m²,1,,,,,,,
20236451,Sint-agatha-rode,3040,€539000,house,,4,610 m²,240 m²,1,,,24 m²,,3,,
20236448,Asse,1730,€579000,house,,3,2491 m²,187 m²,1,0,,13 m²,2000 m²,4,0,Good
20236447,Liedekerke,1770,€409000,house,,4,952 m²,250 m²,1,0,,66 m²,800 m²,2,0,As new
20236445,Dudzele,8380,€335000,house,,4,604 m²,237 m²,1,,,,,4,,
20236442,Li%c3%a8ge,4020,€229000,house,,2,,,1,0,,,,2,0,As new
20236441,Gr%c3%a2ce-hollogne,4460,€224000,house,,2,190 m²,75 m²,1,0,,50 m²,78 m²,2,0,Good
20236440,Knokke-heist,8300,€362500,apartment,,1,,46 m²,1,1,,,,2,,Good
20236438,Aalst%20gijzegem,9308,€299000,house,,4,1316 m²,170 m²,1,,,,,3,,To renovate
20236437,Aalst,9300,€299000,house,,4,1316 m²,170 m²,1,,,,,3,,To renovate
20236436,Varsenare,8490,€549000,apartment,,2,,,1,0,,,,,,
11412093,Heverlee,3001,€285000,apartment,,3,,90 m²,1,0,,3 m²,,,0,
20004129,Koksijde,8670,€675000,house,,4,566 m²,373 m²,1,,1,,,4,0,
20236434,Ninove,9400,€355000,apartment,,2,,115 m²,1,0,,,,,,Good
20236433,Oud-turnhout,2360,€349000,house,,3,457 m²,169 m²,1,,1,,,2,,Good
20236423,Boom,2850,€280000,house,,3,61 m²,128 m²,1,,,,,2,,Good
20236422,Duffel,2570,€329000,house,,5,,160 m²,1,,,,,2,,To renovate
20236298,Hoboken,2660,€249900,apartment,,2,,97 m²,1,,,3 m²,,2,,As new
20236289,Antwerpen-2018,2018,€375000,apartment,,2,,100 m²,1,,,20 m²,,,,Good
20234084,Watermael-boitsfort,1170,€550000,apartment,,4,,143 m²,1,0,,18 m²,,2,0,Good
20236466,Huy,4500,€289500,house,,3,1198 m²,110 m²,1,0,,,,4,,Good
20236465,Sint-martens-latem,9831,€1480000,villa,,4,3212 m²,321 m²,1,,1,,,4,1,Good
20236464,Waterloo,1410,€519000,house,,4,,157 m²,1,,,,,2,,Good
20236463,Schoten,2900,€529000,house,,3,141 m²,159 m²,1,0,,,,2,,As new
20236462,Anderlecht,1070,€540000,house,,4,219 m²,300 m²,1,,,,,2,,Good
20236460,Ganshoren,1083,€220000,flat-studio,,,,70 m²,1,0,,80 m²,,2,0,To be done up
20236461,Ganshoren,1083,€199000,apartment,,2,,82 m²,1,0,,2 m²,,2,0,To renovate
20236459,Antwerpen%20ekeren,2180,€2475000,exceptional-property,,5,5045 m²,480 m²,1,,1,65 m²,,4,,As new
20236458,Laeken,1020,€650000,mixed-use-building,,2,200 m²,255 m²,1,0,,15 m²,15 m²,4,0,Good
20236457,Mont-godinne,5530,€299000,apartment,,2,,94 m²,1,,,6 m²,123 m²,3,0,
20236455,Knokke-zoute,8300,€362500,apartment,,1,,46 m²,1,1,,,,2,,Good
20236454,Oupeye,4680,€299000,house,,3,872 m²,120 m²,1,0,,,550 m²,4,,To renovate
20236452,Sint-lievens-houtem,9520,€350000,house,,5,643 m²,338 m²,1,0,,,,4,0,To renovate
20236453,Lede,9340,€258000,apartment,,1,,80 m²,1,,,,,,,
20236451,Sint-agatha-rode,3040,€539000,house,,4,610 m²,240 m²,1,,,24 m²,,3,,
20236448,Asse,1730,€579000,house,,3,2491 m²,187 m²,1,0,,13 m²,2000 m²,4,0,Good
20236447,Liedekerke,1770,€409000,house,,4,952 m²,250 m²,1,0,,66 m²,800 m²,2,0,As new
20236445,Dudzele,8380,€335000,house,,4,604 m²,237 m²,1,,,,,4,,
20236442,Li%c3%a8ge,4020,€229000,house,,2,,,1,0,,,,2,0,As new
20236441,Gr%c3%a2ce-hollogne,4460,€224000,house,,2,190 m²,75 m²,1,0,,50 m²,78 m²,2,0,Good
20236440,Knokke-heist,8300,€362500,apartment,,1,,46 m²,1,1,,,,2,,Good
20236438,Aalst%20gijzegem,9308,€299000,house,,4,1316 m²,170 m²,1,,,,,3,,To renovate
20236437,Aalst,9300,€299000,house,,4,1316 m²,170 m²,1,,,,,3,,To renovate
20236436,Varsenare,8490,€549000,apartment,,2,,,1,0,,,,,,
11412093,Heverlee,3001,€285000,apartment,,3,,90 m²,1,0,,3 m²,,,0,
20004129,Koksijde,8670,€675000,house,,4,566 m²,373 m²,1,,1,,,4,0,
20236434,Ninove,9400,€355000,apartment,,2,,115 m²,1,0,,,,,,Good
20236433,Oud-turnhout,2360,€349000,house,,3,457 m²,169 m²,1,,1,,,2,,Good
20236423,Boom,2850,€280000,house,,3,61 m²,128 m²,1,,,,,2,,Good
20236422,Duffel,2570,€329000,house,,5,,160 m²,1,,,,,2,,To renovate
20236298,Hoboken,2660,€249900,apartment,,2,,97 m²,1,,,3 m²,,2,,As new
20236289,Antwerpen-2018,2018,€375000,apartment,,2,,100 m²,1,,,20 m²,,,,Good
20234084,Watermael-boitsfort,1170,€550000,apartment,,4,,143 m²,1,0,,18 m²,,2,0,Good
20236466,Huy,4500,€289500,house,,3,1198 m²,110 m²,1,0,,,,4,,Good
20236465,Sint-martens-latem,9831,€1480000,villa,,4,3212 m²,321 m²,1,,1,,,4,1,Good
20236464,Waterloo,1410,€519000,house,,4,,157 m²,1,,,,,2,,Good
20236463,Schoten,2900,€529000,house,,3,141 m²,159 m²,1,0,,,,2,,As new
20236462,Anderlecht,1070,€540000,house,,4,219 m²,300 m²,1,,,,,2,,Good
20236460,Ganshoren,1083,€220000,flat-studio,,,,70 m²,1,0,,80 m²,,2,0,To be done up
20236461,Ganshoren,1083,€199000,apartment,,2,,82 m²,1,0,,2 m²,,2,0,To renovate
20236459,Antwerpen%20ekeren,2180,€2475000,exceptional-property,,5,5045 m²,480 m²,1,,1,65 m²,,4,,As new
20236458,Laeken,1020,€650000,mixed-use-building,,2,200 m²,255 m²,1,0,,15 m²,15 m²,4,0,Good
20236457,Mont-godinne,5530,€299000,apartment,,2,,94 m²,1,,,6 m²,123 m²,3,0,
20236455,Knokke-zoute,8300,€362500,apartment,,1,,46 m²,1,1,,,,2,,Good
20236454,Oupeye,4680,€299000,house,,3,872 m²,120 m²,1,0,,,550 m²,4,,To renovate
20236452,Sint-lievens-houtem,9520,€350000,house,,5,643 m²,338 m²,1,0,,,,4,0,To renovate
20236453,Lede,9340,€258000,apartment,,1,,80 m²,1,,,,,,,
20236451,Sint-agatha-rode,3040,€539000,house,,4,610 m²,240 m²,1,,,24 m²,,3,,
20236448,Asse,1730,€579000,house,,3,2491 m²,187 m²,1,0,,13 m²,2000 m²,4,0,Good
20236447,Liedekerke,1770,€409000,house,,4,952 m²,250 m²,1,0,,66 m²,800 m²,2,0,As new
20236445,Dudzele,8380,€335000,house,,4,604 m²,237 m²,1,,,,,4,,
20236442,Li%c3%a8ge,4020,€229000,house,,2,,,1,0,,,,2,0,As new
20236441,Gr%c3%a2ce-hollogne,4460,€224000,house,,2,190 m²,75 m²,1,0,,50 m²,78 m²,2,0,Good
20236440,Knokke-heist,8300,€362500,apartment,,1,,46 m²,1,1,,,,2,,Good
20236438,Aalst%20gijzegem,9308,€299000,house,,4,1316 m²,170 m²,1,,,,,3,,To renovate
20236437,Aalst,9300,€299000,house,,4,1316 m²,170 m²,1,,,,,3,,To renovate
20236436,Varsenare,8490,€549000,apartment,,2,,,1,0,,,,,,
11412093,Heverlee,3001,€285000,apartment,,3,,90 m²,1,0,,3 m²,,,0,
20004129,Koksijde,8670,€675000,house,,4,566 m²,373 m²,1,,1,,,4,0,
20236434,Ninove,9400,€355000,apartment,,2,,115 m²,1,0,,,,,,Good
20236433,Oud-turnhout,2360,€349000,house,,3,457 m²,169 m²,1,,1,,,2,,Good
20236423,Boom,2850,€280000,house,,3,61 m²,128 m²,1,,,,,2,,Good
20236422,Duffel,2570,€329000,house,,5,,160 m²,1,,,,,2,,To renovate
20236298,Hoboken,2660,€249900,apartment,,2,,97 m²,1,,,3 m²,,2,,As new
20236289,Antwerpen-2018,2018,€375000,apartment,,2,,100 m²,1,,,20 m²,,,,Good
20234084,Watermael-boitsfort,1170,€550000,apartment,,4,,143 m²,1,0,,18 m²,,2,0,Good
20236466,Huy,4500,€289500,house,,3,1198 m²,110 m²,1,0,,,,4,,Good
20236465,Sint-martens-latem,9831,€1480000,villa,,4,3212 m²,321 m²,1,,1,,,4,1,Good
20236464,Waterloo,1410,€519000,house,,4,,157 m²,1,,,,,2,,Good
20236463,Schoten,2900,€529000,house,,3,141 m²,159 m²,1,0,,,,2,,As new
20236462,Anderlecht,1070,€540000,house,,4,219 m²,300 m²,1,,,,,2,,Good
20236460,Ganshoren,1083,€220000,flat-studio,,,,70 m²,1,0,,80 m²,,2,0,To be done up
20236461,Ganshoren,1083,€199000,apartment,,2,,82 m²,1,0,,2 m²,,2,0,To renovate
20236459,Antwerpen%20ekeren,2180,€2475000,exceptional-property,,5,5045 m²,480 m²,1,,1,65 m²,,4,,As new
20236458,Laeken,1020,€650000,mixed-use-building,,2,200 m²,255 m²,1,0,,15 m²,15 m²,4,0,Good
20236457,Mont-godinne,5530,€299000,apartment,,2,,94 m²,1,,,6 m²,123 m²,3,0,
20236455,Knokke-zoute,8300,€362500,apartment,,1,,46 m²,1,1,,,,2,,Good
20236454,Oupeye,4680,€299000,house,,3,872 m²,120 m²,1,0,,,550 m²,4,,To renovate
20236452,Sint-lievens-houtem,9520,€350000,house,,5,643 m²,338 m²,1,0,,,,4,0,To renovate
20236453,Lede,9340,€258000,apartment,,1,,80 m²,1,,,,,,,
20236451,Sint-agatha-rode,3040,€539000,house,,4,610 m²,240 m²,1,,,24 m²,,3,,
20236448,Asse,1730,€579000,house,,3,2491 m²,187 m²,1,0,,13 m²,2000 m²,4,0,Good
20236447,Liedekerke,1770,€409000,house,,4,952 m²,250 m²,1,0,,66 m²,800 m²,2,0,As new
20236445,Dudzele,8380,€335000,house,,4,604 m²,237 m²,1,,,,,4,,
20236442,Li%c3%a8ge,4020,€229000,house,,2,,,1,0,,,,2,0,As new
20236441,Gr%c3%a2ce-hollogne,4460,€224000,house,,2,190 m²,75 m²,1,0,,50 m²,78 m²,2,0,Good
20236440,Knokke-heist,8300,€362500,apartment,,1,,46 m²,1,1,,,,2,,Good
20236438,Aalst%20gijzegem,9308,€299000,house,,4,1316 m²,170 m²,1,,,,,3,,To renovate
20236437,Aalst,9300,€299000,house,,4,1316 m²,170 m²,1,,,,,3,,To renovate
20236436,Varsenare,8490,€549000,apartment,,2,,,1,0,,,,,,
11412093,Heverlee,3001,€285000,apartment,,3,,90 m²,1,0,,3 m²,,,0,
20004129,Koksijde,8670,€675000,house,,4,566 m²,373 m²,1,,1,,,4,0,
20236434,Ninove,9400,€355000,apartment,,2,,115 m²,1,0,,,,,,Good
20236433,Oud-turnhout,2360,€349000,house,,3,457 m²,169 m²,1,,1,,,2,,Good
20236423,Boom,2850,€280000,house,,3,61 m²,128 m²,1,,,,,2,,Good
20236422,Duffel,2570,€329000,house,,5,,160 m²,1,,,,,2,,To renovate
20236298,Hoboken,2660,€249900,apartment,,2,,97 m²,1,,,3 m²,,2,,As new
20236289,Antwerpen-2018,2018,€375000,apartment,,2,,100 m²,1,,,20 m²,,,,Good
20234084,Watermael-boitsfort,1170,€550000,apartment,,4,,143 m²,1,0,,18 m²,,2,0,Good
20236466,Huy,4500,€289500,house,,3,1198 m²,110 m²,1,0,,,,4,,Good
20236465,Sint-martens-latem,9831,€1480000,villa,,4,3212 m²,321 m²,1,,1,,,4,1,Good
20236464,Waterloo,1410,€519000,house,,4,,157 m²,1,,,,,2,,Good
20236463,Schoten,2900,€529000,house,,3,141 m²,159 m²,1,0,,,,2,,As new
20236462,Anderlecht,1070,€540000,house,,4,219 m²,300 m²,1,,,,,2,,Good
20236460,Ganshoren,1083,€220000,flat-studio,,,,70 m²,1,0,,80 m²,,2,0,To be done up
20236461,Ganshoren,1083,€199000,apartment,,2,,82 m²,1,0,,2 m²,,2,0,To renovate
20236459,Antwerpen%20ekeren,2180,€2475000,exceptional-property,,5,5045 m²,480 m²,1,,1,65 m²,,4,,As new
20236458,Laeken,1020,€650000,mixed-use-building,,2,200 m²,255 m²,1,0,,15 m²,15 m²,4,0,Good
20236457,Mont-godinne,5530,€299000,apartment,,2,,94 m²,1,,,6 m²,123 m²,3,0,
20236455,Knokke-zoute,8300,€362500,apartment,,1,,46 m²,1,1,,,,2,,Good
20236454,Oupeye,4680,€299000,house,,3,872 m²,120 m²,1,0,,,550 m²,4,,To renovate
20236452,Sint-lievens-houtem,9520,€350000,house,,5,643 m²,338 m²,1,0,,,,4,0,To renovate
20236453,Lede,9340,€258000,apartment,,1,,80 m²,1,,,,,,,
20236451,Sint-agatha-rode,3040,€539000,house,,4,610 m²,240 m²,1,,,24 m²,,3,,
20236448,Asse,1730,€579000,house,,3,2491 m²,187 m²,1,0,,13 m²,2000 m²,4,0,Good
20236447,Liedekerke,1770,€409000,house,,4,952 m²,250 m²,1,0,,66 m²,800 m²,2,0,As new
20236445,Dudzele,8380,€335000,house,,4,604 m²,237 m²,1,,,,,4,,
20236442,Li%c3%a8ge,4020,€229000,house,,2,,,1,0,,,,2,0,As new
20236441,Gr%c3%a2ce-hollogne,4460,€224000,house,,2,190 m²,75 m²,1,0,,50 m²,78 m²,2,0,Good
20236440,Knokke-heist,8300,€362500,apartment,,1,,46 m²,1,1,,,,2,,Good
20236438,Aalst%20gijzegem,9308,€299000,house,,4,1316 m²,170 m²,1,,,,,3,,To renovate
20236437,Aalst,9300,€299000,house,,4,1316 m²,170 m²,1,,,,,3,,To renovate
20236436,Varsenare,8490,€549000,apartment,,2,,,1,0,,,,,,
11412093,Heverlee,3001,€285000,apartment,,3,,90 m²,1,0,,3 m²,,,0,
20004129,Koksijde,8670,€675000,house,,4,566 m²,373 m²,1,,1,,,4,0,
20236434,Ninove,9400,€355000,apartment,,2,,115 m²,1,0,,,,,,Good
20236433,Oud-turnhout,2360,€349000,house,,3,457 m²,169 m²,1,,1,,,2,,Good
20236423,Boom,2850,€280000,house,,3,61 m²,128 m²,1,,,,,2,,Good
20236422,Duffel,2570,€329000,house,,5,,160 m²,1,,,,,2,,To renovate
20236298,Hoboken,2660,€249900,apartment,,2,,97 m²,1,,,3 m²,,2,,As new
20236289,Antwerpen-2018,2018,€375000,apartment,,2,,100 m²,1,,,20 m²,,,,Good
20234084,Watermael-boitsfort,1170,€550000,apartment,,4,,143 m²,1,0,,18 m²,,2,0,Good
20236466,Huy,4500,€289500,house,,3,1198 m²,110 m²,1,0,,,,4,,Good
20236465,Sint-martens-latem,9831,€1480000,villa,,4,3212 m²,321 m²,1,,1,,,4,1,Good
20236464,Waterloo,1410,€519000,house,,4,,157 m²,1,,,,,2,,Good
20236463,Schoten,2900,€529000,house,,3,141 m²,159 m²,1,0,,,,2,,As new
20236462,Anderlecht,1070,€540000,house,,4,219 m²,300 m²,1,,,,,2,,Good
20236460,Ganshoren,1083,€220000,flat-studio,,,,70 m²,1,0,,80 m²,,2,0,To be done up
20236461,Ganshoren,1083,€199000,apartment,,2,,82 m²,1,0,,2 m²,,2,0,To renovate
20236459,Antwerpen%20ekeren,2180,€2475000,exceptional-property,,5,5045 m²,480 m²,1,,1,65 m²,,4,,As new
20236458,Laeken,1020,€650000,mixed-use-building,,2,200 m²,255 m²,1,0,,15 m²,15 m²,4,0,Good
20236457,Mont-godinne,5530,€299000,apartment,,2,,94 m²,1,,,6 m²,123 m²,3,0,
20236455,Knokke-zoute,8300,€362500,apartment,,1,,46 m²,1,1,,,,2,,Good
20236454,Oupeye,4680,€299000,house,,3,872 m²,120 m²,1,0,,,550 m²,4,,To renovate
20236452,Sint-lievens-houtem,9520,€350000,house,,5,643 m²,338 m²,1,0,,,,4,0,To renovate
20236453,Lede,9340,€258000,apartment,,1,,80 m²,1,,,,,,,
20236451,Sint-agatha-rode,3040,€539000,house,,4,610 m²,240 m²,1,,,24 m²,,3,,
20236448,Asse,1730,€579000,house,,3,2491 m²,187 m²,1,0,,13 m²,2000 m²,4,0,Good
20236447,Liedekerke,1770,€409000,house,,4,952 m²,250 m²,1,0,,66 m²,800 m²,2,0,As new
20236445,Dudzele,8380,€335000,house,,4,604 m²,237 m²,1,,,,,4,,
20236442,Li%c3%a8ge,4020,€229000,house,,2,,,1,0,,,,2,0,As new
20236441,Gr%c3%a2ce-hollogne,4460,€224000,house,,2,190 m²,75 m²,1,0,,50 m²,78 m²,2,0,Good
20236440,Knokke-heist,8300,€362500,apartment,,1,,46 m²,1,1,,,,2,,Good
